Название района;Вывезено за год твердых коммунальных отходов (тыс. м3);Вывезено за год твердых коммунальных отходов (тыс. т);Внесение минеральных удобрений  под посевы сельскохозяйственных культур в сельскохозяйственных организациях. (центнер);Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения (тыс. руб);Количество объектов, имеющих стационарные источники загрязнения атмосферного воздуха;Общее количество загрязняющих веществ, отходящих от всех стационарных источников (тыс. тонн);Твердые вещества (тыс. тонн);Газообразные и жидкие вещества (тыс. тонн);Диоксид серы (тыс. тонн);Оксид углерода (тыс. тонн);Оксиды азота (в пересчете на NO2) (тыс. тонн);Углеводороды (тыс. тонн);Летучие органические сийдинения (ЛОС);Прочие газообразные и жидкие вещества;Удельная величина потребления тепловой энергии в многоквартирных домах на 1 кв. м. общей площади (гигакалория);Удельная величина потребления электрической энергии в многоквартирных домах на одного проживающего (киловатт-час);Удельная величина потребления природного газа в многоквартирных домах на одного проживающего (кубический метр);Уловленные и обезвреженные загрязняющие атмосферу вещества из общего объёма поступивших на очистку (тыс. тонн) ;Уловлено и обезврежено загрязняющих веществ в процентах от общего количества загрязняющих веществ, отходящих от стационарных источников;;;;;;;;;;;
пгт. Ленино;72.00;18.10;7955;37981;14;0.856;0.025;0.831;0.011;0.047;0.018;0.696;56.859;0.001;0.14;987.63;1760.9;;;;;;;;;;;;;
г. Щелкино;7.20;1.80;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Багеровский сельский совет;3.80;0.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ленинский сельский совет;10.40;2.60;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Батальненский сельский совет;2.00;0.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Белинский сельский совет;1.30;0.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Виноградненский сельский совет;1.50;0.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Войковский сельский совет;6.30;1.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Глазовский сельский совет;2.80;0.70;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Горностаевский сельский совет;2.80;0.70;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Заветненский сельский совет;1.90;0.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ильичевский сельский совет;2.40;0.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Калиновский сельский совет;3.10;0.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кировский сельский совет;1.30;0.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Красногорский сельский совет;1.20;0.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ленинский сельский совет;2.40;0.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Луговской сельский совет;1.30;0.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Марфовский сельский совет;1.00;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Марьевский сельский совет;0.90;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мысовской сельский совет;1.30;0.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Новониколаевский сельский совет;1.60;0.40;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Октябрьский сельский совет;1.90;0.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Останинский сельский совет;2.00;0.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Приозерненский сельский совет;4.00;1.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Семисотский сельский совет;2.90;0.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Уваровский сельский совет;1.10;0.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Челядиновский сельский совет;1.90;0.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Чистопольский сельский совет;2.80;0.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;
г. Керчь;334.10;83.50;;538963;29;1.505;0.211;1.246;0.166;0.347;0.484;0.027;185.113;0.037;;2072.64;266;0.048;3.2;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
